  1x  "그를 황무지에서 | 짐승의 부르짖는 광야에"
  1x  "알지 못하던 신 | 근래에 일어난 새 신,"
  1x  "기를 먹던 것들 | 전제의 술을 마시던 것"
  1x  "요셉의 머리에 | 그 형제 중 구별한 자"
  1x  "다의 풍부한 것 | 모래에 감추인 보배를"
  1x  "혹은 이 편에서 | 혹은 저 편에서 쳐 죽"
  1x  "그리심산 앞에 | 절반은 에발산 앞에 섰"
  1x  "아브라함의 아비 | 나홀의 아비 데라가 강"
  1x  "한 모든 길에서 | 우리의 지난 모든 백성"
  1x  "나귀를 탄 자들 | 귀한 화문석에 앉은 자"
  1x  "들 | 길에 행하는 자들아 선"
  1x  "면 미디안 사람 | 아말렉 사람, 동방 사"
  1x  "르되 나의 단것 | 나의 아름다운 실과를"
  1x  "아하 | 이 백성이 내 수하에"
  1x  "스라엘 한 지파 | 한 가족의 제사장이 되"
  1x  "중에서 백에 열 | 천에 백, 만에 천을"
  1x  "보라 벧엘 북편 | 르보나 남편 벧엘에서"
  1x  "각각 그 지파 | 그 가족에게로 돌아가되"
  1x  "집을 세운 라헬 | 레아 두 사람과 같게"
  1x  "가 낮 사흘 밤 | 사흘을 떡도 먹지 못하"
  1x  "은 자의 피에서 | 용사의 기름에서 요나단"
  1x  "를 왕이여 만세 | 왕이여 만세 하니"
  1x  "요압의 수하에 | 삼분지 일은 스루야의"
  1x  "하기를 내 아들 | 압살롬아 내 아들, 내"
  1x  "아들 | 압살롬아 내가 너를 대"
  1x  "부르되 내 아들 | 압살롬아 압살롬아 내"
  1x  "께서 내 의대로 | 그 목전에 내 깨끗한"
  1x  "높이 올리운 자 | 야곱의 하나님에게 기름"
  1x  "로 다스리는 자 | 하나님을 경외함으로 다"
  1x  "여 가로되 아멘 | 내 주 왕의 하나님 여"
  1x  "그룹은 한 척수 | 한 모양이요"
  1x  "내신 주의 백성 | 주의 산업이 됨이니이다"
  1x  "게 응답하옵소서 | 내게 응답하옵소서 이"
  1x  "고 말도 말대로 | 병거도 병거대로 충수하"
  1x  "아담, 셋 | 에노스"
  1x  "게난, 마할랄렐 | 야렛"
  1x  "에녹 | 므두셀라"
  1x  "라멕, 노아 셈 | 함과 야벳"
  1x  "셈, 아르박삿 | 셀라"
  1x  "에벨, 벨렉 | 르우"
  1x  "스룩, 나홀 | 데라"
  1x  "아르난의 아들들 | 오바댜의 아들들, 스가"
  1x  "스라야의 손자 | 요시비야의 아들 예후와"
  1x  "년 기근일지 혹 | 네가 석달을 대적에게"
  1x  "을 그 분반대로 | 레위 사람을 그 반차대"
  1x  "소화되었으니 자 | 예루살렘 성을 중건하여"
  1x  "오정까지 남자 | 여자 무릇 알아 들을"
  1x  "혹은 지붕 위에 | 혹은 뜰안에, 혹은 하"
  1x  "나님의 전 뜰에 | 혹은 수문 광장에, 혹"
  1x  "스라야 아사랴 | 예레미야"
  1x  "바스훌, 아마랴 | 말기야"
  1x  "핫두스, 스바냐 | 말룩"
  1x  "하림, 므레못 | 오바댜"
  1x  "다니엘, 긴느돈 | 바룩"
  1x  "므술람 | 아비야 미야민"
  1x  "마아시야 빌개 | 스마야니 이는 다 제사"
  1x  "그 형제 스바냐 | 호디야 그리다 블라야"
  1x  "미가 르홉 | 하사뱌"
  1x  "삭굴, 세레뱌 | 스바냐"
  1x  "목들 곧 바로스 | 바핫모압, 엘람, 삿두"
  1x  " | 바니"
  1x  "분니 아스갓 | 베배"
  1x  "아도니야 비그왜 | 아딘"
  1x  "아델 | 히스기야 앗술"
  1x  "호디야 하숨 | 베새"
  1x  "하립,아나돗 | 노배"
  1x  "비아스, 므술람 | 헤실"
  1x  "므세사벨, 사독 | 얏두아"
  1x  "블라댜, 하난 | 아나야"
  1x  "호세아 하나냐 | 핫숩"
  1x  "할르헤스, 빌하 | 소벡"
  1x  "르훔 | 하삼나 마아세야"
  1x  "아히야 하난 | 아난"
  1x  "말룩, 하림 | 바아나이었느니라"
  1x  "맛다냐의 증손 | 미가야의 현손 삭굴의"
  1x  "오대손 | 아삽의 육대손 스가랴와"
  1x  "을 화반석 백석 | 운모석 흑석을 깐 땅에"
  1x  "로되 나의 소청 | 나의 요구가 이러하니이"
  1x  "각 도 각 읍 | 각 집에서 대대로 이"
  1x  "의 입의 칼에서 | 강한 자의 손에서 면하"
  1x  "때에 죽음에서 | 전쟁 때에 칼 권세에서"
  1x  "까지 이리 뒤척 | 저리 뒤척 하는구나"
  1x  "음으로 네 입에 | 즐거운 소리로 네 입술"
  1x  "아니한 이야기 | 무익한 말로 변론하겠느"
  1x  "는 황무한 성읍 | 사람이 살지 아니하는"
  1x  "집 | 돌 무더기가 될 곳에"
  1x  "너는 내 어미 | 내 자매라 할진대"
  1x  "나의 이 가죽 | 이것이 썩은 후에 내가"
  1x  "며 벌레인 사람 | 구더기인 인생이랴"
  1x  "님께 얻을 분깃 | 강포자가 전능자에게 받"
  1x  "혼이 구덩이에 | 그의 생명이 멸하는 자"
  1x  "나의 왕 | 나의 하나님이여 나의"
  1x  "하니 구원하실걸 | 저를 기뻐하시니 건지실"
  1x  "나의 대적 | 나의 원수된 행악자가"
  1x  "게 벌리고 하하 | 우리가 목도하였다 하나"
  1x  "이르기를 아하 | 소원 성취하였다 하지"
  1x  "를 향하여 하하 | 하는 자로 자기 수치를"
  1x  "송할지로다 아멘 | 아멘"
  1x  "리 하나님의 성 | 거룩한 산에서 극진히"
  1x  "의 여호와의 성 | 우리 하나님의 성에서"
  1x  "장으로 한 노래 | 다윗이 밧세바와 동침한"
  1x  "로다 나의 동류 | 나의 동무요 나의 가까"
  1x  "도를 땅 위에 | 주의 구원을 만방 중에"
  1x  "아하, 아하 | 하는 자로 자기 수치를"
  1x  "만할지어다 아멘 | 아멘 이새의 아들 다윗"
  1x  "가축을 우박에 | 저희 양떼를 번갯불에"
  1x  ", 나의 하나님 | 만군의 여호와여 주의"
  1x  "하기를 이 사람 | 저 사람이 거기서 났나"
  1x  "하심을 무덤에서 | 주의 성실하심을 멸망"
  1x  "송할지어다 아멘 | 아멘"
  1x  "산이 생기기 전 | 땅과 세계도 주께서 조"
  1x  "인이 네 곁에서 | 만인이 네 우편에서 엎"
  1x  "영혼을 사망에서 | 내 눈을 눈물에서, 내"
  1x  "아 네 가운데서 | 여호와의 전 정에서 내"
  1x  "왕들은 사슬로 | 저희 귀인은 철고랑으로"
  1x  "너를 음녀에게서 | 말로 호리는 이방 계집"
  1x  "자, 좀더 졸자 | 손을 모으고 좀더 눕자"
  1x  "어리석은자 중에 | 소년 중에 한 지혜 없"
  1x  "때, 황혼 때 | 깊은밤 흑암 중에라"
  1x  "전부터 상고부터 | 땅이 생기기 전부터,"
  1x  "네가 좀더 자자 | 좀더 졸자, 손을 모으"
  1x  "에 이르기를 자 | 내가 시험적으로 너를"
  1x  "날이 이르기 전 | 나는 아무 낙이 없다고"
  1x  "땋은 머리털로 | 네 목은 구슬 꿰미로"
  1x  "은 백향목 들보 | 잣나무 석가래로구나"
  1x  "기를 나의 사랑 | 나의 어여쁜 자야 일어"
  1x  "내 사랑 | 너는 어여쁘고도 어여쁘"
  1x  "다윗의 망대 곧 | 일천 방패 용사의 모든"
  1x  "나의 사랑 | 너는 순전히 어여뻐서"
  1x  "누이 나의 사랑 | 나의 비둘기, 나의 완"
  1x  "나의 비둘기 | 나의 완전한 자는 하나"
  1x  "한 실과가 새것 | 묵은 것이 구비하였구나"
  1x  "어미가 신고한 | 너를 낳은 자가 애쓴"
  1x  "만하여 늘인 목 | 정을 통하는 눈으로 다"
  1x  "희 장정은 칼에 | 너희 용사는 전란에 망"
  1x  "남아 있는 자 | 예루살렘에 머물러 있는"
  1x  "면 구름과 연기 | 밤이면 화염의 빛을 만"
  1x  "것이나 밤나무 | 상수리나무가 베임을 당"
